process_id,state_name,state_code_lgd,district_name,district_code_lgd,type_of_project,ngo_name,ngo_address,ngo_unique_id,project_id,project_address,scheme_project_name,scheme_project_id,form_type,acknowledgement_number,financial_year,applied_date,male_count,female_count,others_count
62152,MAHARASHTRA,27,SATARA,494,c,Shri Gadage Maharaj Mission Mumbai,"Shri Gadge Maharaj Mission Mumbai Sanchalit  Shri Sant Gadge maharaj Central SC Non Residential Primary School Bijawadi ( Yelewadi)
Tal - Man, Dist- Satara, Pin Code - 415508
",MH/2017/0114692,SC/MH/SAT/01045,"618, Ground Floor, Near KBP Vidyalay Bijawadi, Dahiwadi - Phaltan Road, Bijawadi",Non-Residential School,2,SC,MH/MH/00006291/SC/05-22/55962,2022-23,5/7/2022,,,
62295,MAHARASHTRA,27,BEED,470,c,SHRI TAMBAVESHWAR SEVABHAVI SANSHTA,AT POST WAGHALA (RADI) TQ AMBAJOGAI DIST BEED,MH/2017/0120454,SC/MH/BEE/01447,"826, Ground Floor, Amba sahakari karkhana Waghala, Latur Road, Waghala (Radi)",Residential School,1,SC,MH/MH/00014198/SC/05-22/56011,2022-23,5/13/2022,,,
62303,MAHARASHTRA,27,HINGOLI,477,c,CHADRAGIRI SHIKSHAN PRASARAK MANDAL PARDI SAW TQ AUNDHA DIST HINGOLI,"CHANDRAGIRI SHIKSHAN PRASARAK MANDAL PARDI SAW TALUKA AUNDHA NAGNATH DIST HINGOLIAT PARDI POST GOJEGAON  TALUKA AUNDHA DIST HINGOLI 431705, Pin-000000",MH/2016/0104411,SC/MH/HIN/01232,"245, GROUND FLOOR, AUNDHA JINTUR ROAD, AUNDHA JINTUR ROAD, YELI PHATA",Hostel,3,SC,MH/MH/00006741/SC/05-22/56016,2022-23,5/9/2022,,,
62326,MAHARASHTRA,27,PARBHANI,489,c,shree khandobaraya sevabhavi sanstha,"AT. POST. BHOGAON (SABLE) TQ AND DIST PARBHANI , Pin-431537",MH/2016/0108853,SC/MH/PBN/01161,"145, GROUND FLOOR, PANHERA ROAD, MAIN ROAD, BHOGAON",Non-Residential School,2,SC,MH/MH/00009293/SC/05-22/56032,2022-23,5/12/2022,,,
62538,MANIPUR,14,IMPHAL WEST,256,c,Western Rural Socio Economic Development Organisation,Heinoukhongnembi Konjeng Leikai Imphal West District Manipur Pin Code 795001,MN/2016/0107502,SC/MN/IMW/01086,"151, Ground floor, Heinoukhongnembi, Konjeng Leikai, Konjeng Leikai",Non-Residential School,2,SC,MN/MN/00001420/SC/05-22/56080,2022-23,5/14/2022,,,
62559,ANDHRA PRADESH,28,KRISHNA,510,c,Ravicherla Integrated Development and Education Society,"RIDES, D.no.7-309, Sneha Building, Banginapalli Thota, Nuzvid-521201.",AP/2014/0075627,SC/AP/KRS/01286,"7-281, Ground floor, Building, Near bus stand, colony, Banginapalli thota, 7-281, TOWN",Hostel,3,SC,AP/AP/00000226/SC/05-22/56101,2022-23,5/14/2022,,,
62566,UTTAR PRADESH,9,GONDA,147,c,SHANTI SARVODAYA SANSTHAN,SHANTI KUNJ  MOHALLA MEWATIYAN TRABGANJ ROAD DISTRICT  GONDA UP PIN CODE 271001,UP/2009/0005413,SC/UP/GND/00894,"0, GROUND FLOOR, PARASPUR ROAD, BELSAR TO PARASPUR ROAD, GONDA",Non-Residential School,2,SC,UP/UP/00002335/SC/05-22/56108,2022-23,5/8/2022,,,
62568,UTTAR PRADESH,9,GONDA,147,c,SHANTI SARVODAYA SANSTHAN,SHANTI KUNJ  MOHALLA MEWATIYAN TRABGANJ ROAD DISTRICT  GONDA UP PIN CODE 271001,UP/2009/0005413,SC/UP/GND/00895,"0, GROUND FLOOR, IN FRONT OF AWADH BAL INTER COLLEGE, PARASPUR ROAD, GONDA",Residential School,1,SC,UP/UP/00002335/SC/05-22/56110,2022-23,5/8/2022,,,
62577,UTTARAKHAND,5,DEHRADUN,49,c,Ira Chetna Avam Samajothan Sansthan,"HOSHIYARI MANDIR RAIWALA DISTRICT DEHRADUN UTTARAKHAND PINCODE 249205, Pin-249205",UA/2016/0103070,SC/UR/DHR/01170,"NA, NA, Near Mobile Towers, BEG Camp Road, Raiwala",Residential School,1,SC,UR/UR/00002550/SC/05-22/56119,2022-23,5/10/2022,,,
62583,UTTAR PRADESH,9,MAU,168,c,SW TAPESHWAR RAM KALYAN SAMITI MOH SAIDPUR MOHAMMADABAD GOHNA MAU,"SW TAPESHWAR RAM KALYAN SAMITIMOHALLA - SAIDPURPOST - MOHAMMADABAD GOHNA DISTT MAUPIN CODE 276403, Pin-276403",UP/2016/0106081,SC/UP/MAU/00816,"71, GROUND & 1ST FLOOR , LUCKNOW TO BALLIA HIGHWAY  NEAR SAMARTH BHARAT GAS GODAM, VILL-CHISTIPATTI (HAFIZPUR ), MAU",Residential School,1,SC,UP/UP/00006621/SC/05-22/56125,2022-23,5/10/2022,,,
